"SCED Time Stamp","Repeated Hour Flag","QSE Name","Total Telemetered DSR Loads"
"02/09/2025 00:00:12","N","ERCCRE","0"
"02/09/2025 00:00:12","N","QAEN","0"
"02/09/2025 00:00:12","N","QAEPS3","0"
"02/09/2025 00:00:12","N","QAESIE","0"
"02/09/2025 00:00:12","N","QAETE1","0"
"02/09/2025 00:00:12","N","QALTRE","0"
"02/09/2025 00:00:12","N","QAMA1","0"
"02/09/2025 00:00:12","N","QAVAN3","0"
"02/09/2025 00:00:12","N","QAVAN4","0"
"02/09/2025 00:00:12","N","QBEEP1","0"
"02/09/2025 00:00:12","N","QBEEP3","0"
"02/09/2025 00:00:12","N","QBHERP","0"
"02/09/2025 00:00:12","N","QBTU","0"
"02/09/2025 00:00:12","N","QBULL","0"
"02/09/2025 00:00:12","N","QCAL13","0"
"02/09/2025 00:00:12","N","QCALP","0"
"02/09/2025 00:00:12","N","QCALP1","0"
"02/09/2025 00:00:12","N","QCPSE","0"
"02/09/2025 00:00:12","N","QCPSE1","0"
"02/09/2025 00:00:12","N","QCWPE3","0"
"02/09/2025 00:00:12","N","QDELI2","0"
"02/09/2025 00:00:12","N","QDELIL","0"
"02/09/2025 00:00:12","N","QDENT1","0"
"02/09/2025 00:00:12","N","QDENT2","0"
"02/09/2025 00:00:12","N","QDIR12","0"
"02/09/2025 00:00:12","N","QDUKE1","0"
"02/09/2025 00:00:12","N","QDUKE2","0"
"02/09/2025 00:00:12","N","QDUKE4","0"
"02/09/2025 00:00:12","N","QDUKE5","0"
"02/09/2025 00:00:12","N","QDUKE6","0"
"02/09/2025 00:00:12","N","QDUKE7","0"
"02/09/2025 00:00:12","N","QDUKE8","0"
"02/09/2025 00:00:12","N","QDUKER","0"
"02/09/2025 00:00:12","N","QEAGL4","0"
"02/09/2025 00:00:12","N","QECNR","0"
"02/09/2025 00:00:12","N","QECNR2","0"
"02/09/2025 00:00:12","N","QECNR4","0"
"02/09/2025 00:00:12","N","QECNR5","0"
"02/09/2025 00:00:12","N","QECNR6","0"
"02/09/2025 00:00:12","N","QECNR7","0"
"02/09/2025 00:00:12","N","QEDE12","0"
"02/09/2025 00:00:12","N","QEDE20","0"
"02/09/2025 00:00:12","N","QEDE21","0"
"02/09/2025 00:00:12","N","QEDE34","0"
"02/09/2025 00:00:12","N","QEDF11","0"
"02/09/2025 00:00:12","N","QEDF15","0"
"02/09/2025 00:00:12","N","QEDF16","0"
"02/09/2025 00:00:12","N","QEDF17","0"
"02/09/2025 00:00:12","N","QEDF21","0"
"02/09/2025 00:00:12","N","QEDF23","0"
"02/09/2025 00:00:12","N","QEDF24","0"
"02/09/2025 00:00:12","N","QEDF25","0"
"02/09/2025 00:00:12","N","QEDF26","0"
"02/09/2025 00:00:12","N","QEDF29","0"
"02/09/2025 00:00:12","N","QEDF30","0"
"02/09/2025 00:00:12","N","QEDF32","0"
"02/09/2025 00:00:12","N","QEDF34","0"
"02/09/2025 00:00:12","N","QEDF35","0"
"02/09/2025 00:00:12","N","QEDF39","0"
"02/09/2025 00:00:12","N","QEDF40","0"
"02/09/2025 00:00:12","N","QEDF41","0"
"02/09/2025 00:00:12","N","QEDF43","0"
"02/09/2025 00:00:12","N","QEDF44","0"
"02/09/2025 00:00:12","N","QEDI12","0"
"02/09/2025 00:00:12","N","QEDI13","0"
"02/09/2025 00:00:12","N","QEDI14","0"
"02/09/2025 00:00:12","N","QEDI15","0"
"02/09/2025 00:00:12","N","QEDIS4","0"
"02/09/2025 00:00:12","N","QEDIS9","0"
"02/09/2025 00:00:12","N","QEDISO","0"
"02/09/2025 00:00:12","N","QENDU2","0"
"02/09/2025 00:00:12","N","QENE10","0"
"02/09/2025 00:00:12","N","QENE11","0"
"02/09/2025 00:00:12","N","QENE12","0"
"02/09/2025 00:00:12","N","QENE13","0"
"02/09/2025 00:00:12","N","QENE14","0"
"02/09/2025 00:00:12","N","QENE15","0"
"02/09/2025 00:00:12","N","QENE16","0"
"02/09/2025 00:00:12","N","QENEL1","0"
"02/09/2025 00:00:12","N","QENEL2","0"
"02/09/2025 00:00:12","N","QENEL5","0"
"02/09/2025 00:00:12","N","QENEL6","0"
"02/09/2025 00:00:12","N","QENEL7","0"
"02/09/2025 00:00:12","N","QENEL8","0"
"02/09/2025 00:00:12","N","QENEL9","0"
"02/09/2025 00:00:12","N","QENROC","0"
"02/09/2025 00:00:12","N","QENRWI","0"
"02/09/2025 00:00:12","N","QEVOLV","0"
"02/09/2025 00:00:12","N","QEXELO","0"
"02/09/2025 00:00:12","N","QFORMO","0"
"02/09/2025 00:00:12","N","QFPL10","0"
"02/09/2025 00:00:12","N","QFPL11","0"
"02/09/2025 00:00:12","N","QFPL12","0"
"02/09/2025 00:00:12","N","QFPL14","0"
"02/09/2025 00:00:12","N","QFPL17","0"
"02/09/2025 00:00:12","N","QFPL18","0"
"02/09/2025 00:00:12","N","QFPL20","0"
"02/09/2025 00:00:12","N","QFPL23","0"
"02/09/2025 00:00:12","N","QFPL24","0"
"02/09/2025 00:00:12","N","QFPL25","0"
"02/09/2025 00:00:12","N","QFPL26","0"
"02/09/2025 00:00:12","N","QFPL27","0"
"02/09/2025 00:00:12","N","QFPL28","0"
"02/09/2025 00:00:12","N","QFPL29","0"
"02/09/2025 00:00:12","N","QFPL30","0"
"02/09/2025 00:00:12","N","QFPL31","0"
"02/09/2025 00:00:12","N","QFPL32","0"
"02/09/2025 00:00:12","N","QFPL33","0"
"02/09/2025 00:00:12","N","QFPL34","0"
"02/09/2025 00:00:12","N","QFPL35","0"
"02/09/2025 00:00:12","N","QFPL36","0"
"02/09/2025 00:00:12","N","QFPL39","0"
"02/09/2025 00:00:12","N","QFPL40","0"
"02/09/2025 00:00:12","N","QFPLE","0"
"02/09/2025 00:00:12","N","QFPLE1","0"
"02/09/2025 00:00:12","N","QFPLE2","0"
"02/09/2025 00:00:12","N","QFPLE3","0"
"02/09/2025 00:00:12","N","QFPLE6","0"
"02/09/2025 00:00:12","N","QFPLE8","0"
"02/09/2025 00:00:12","N","QGALT","0"
"02/09/2025 00:00:12","N","QGALT1","0"
"02/09/2025 00:00:12","N","QGALT4","0"
"02/09/2025 00:00:12","N","QGALT5","0"
"02/09/2025 00:00:12","N","QGALT6","0"
"02/09/2025 00:00:12","N","QGAR","165.7"
"02/09/2025 00:00:12","N","QGAR11","0"
"02/09/2025 00:00:12","N","QGERD","0"
"02/09/2025 00:00:12","N","QGEUS","0"
"02/09/2025 00:00:12","N","QGEX12","0"
"02/09/2025 00:00:12","N","QGOLD","0"
"02/09/2025 00:00:12","N","QGOLDN","0"
"02/09/2025 00:00:12","N","QGRIDB","0"
"02/09/2025 00:00:12","N","QGRIE4","0"
"02/09/2025 00:00:12","N","QGUIDE","0"
"02/09/2025 00:00:12","N","QGUNSI","0"
"02/09/2025 00:00:12","N","QHABIT","0"
"02/09/2025 00:00:12","N","QHEI1","0"
"02/09/2025 00:00:12","N","QHEI3","0"
"02/09/2025 00:00:12","N","QIBER","0"
"02/09/2025 00:00:12","N","QIBER1","0"
"02/09/2025 00:00:12","N","QIPLU2","0"
"02/09/2025 00:00:12","N","QIPLUM","0"
"02/09/2025 00:00:12","N","QIPRAD","0"
"02/09/2025 00:00:12","N","QLCRA","0"
"02/09/2025 00:00:12","N","QLINE1","0"
"02/09/2025 00:00:12","N","QLINE2","0"
"02/09/2025 00:00:12","N","QLINE3","0"
"02/09/2025 00:00:12","N","QLUMN","0"
"02/09/2025 00:00:12","N","QLUMN1","0"
"02/09/2025 00:00:12","N","QM2SQ1","0"
"02/09/2025 00:00:12","N","QMCADO","0"
"02/09/2025 00:00:12","N","QMEA1","0"
"02/09/2025 00:00:12","N","QMEA4","0"
"02/09/2025 00:00:12","N","QMEA5","0"
